ATC	RELEASE	FRNUMBER	LT	PLATFORM	SHELF
MGMT_SYSLOG_LOG_ACTN_01	R6.2.02	ALU02675959	X	TARGET	NFXSE
MGMT_SYSLOG_LOG_ACTN_01	R6.2.03	ALU02675959	X	TARGET	NFXSE
MGMT_SYSLOG_LOG_ACTN_01	R6.2.04	ALU02675959	X	TARGET	NFXSE
MGMT_SYSLOG_LOG_ACTN_01	R6.3	ALU02675959	X	TARGET	NFXSE
MGMT_SYSLOG_LOG_ACTN_01	R20.09	ALU02675959	X	TARGET	NFXSE
---	R6.1	---	X	TARGET	CFXRB
---	R6.1	ALU02612602	X	TARGET	CFXRB
NGLT_QOS_DN_TRAF_01,NGLT_QOS_DN_TRAF_04,NGLT_QOS_DN_TRAF_35	R4.3.02	ALU01610402	X	TARGET	NFXSA
NGLT_QOS_DN_TRAF_01,NGLT_QOS_DN_TRAF_04,NGLT_QOS_DN_TRAF_35	R4.3.02	ALU01610402	X	TARGET	NFXSB
MGMT_SNMPV3_CLI_AU_09	R5.2	ALU02035517	X	TARGET	X
SM_DHCP_FUNC_04	R5.2	ALU02037061	X	TARGET	X
SM_DHCP_FUNC_04	R5.1	ALU02041195	NALT-E	TARGET	X
SM_DHCP_FUNC_04	R5.1.01	ALU02041195	NALT-E	TARGET	X
SM_DHCP_FUNC_04	R5.1.02	ALU02041195	NALT-E	TARGET	X
SM_DHCP_FUNC_04	R5.2	ALU02041195	NALT-E	TARGET	X
XDSL_VECTORING_CLEANUP_04	R5.2	ALU02046638	X	TARGET	X
XDSL_VECTORING_CLEANUP_04	R5.2.01	ALU02046638	X	TARGET	X
XDSL_VECTORING_CLEANUP_04	R5.1.02	ALU02046638	RDLT-A	TARGET	X
XDSL_VECTORING_CLEANUP_04	R5.2	ALU02046638	RDLT-A	TARGET	X
XDSL_VECTORING_CLEANUP_04	R5.2.01	ALU02046638	RDLT-A	TARGET	X
NGVR_LINETEST_ISV_NOISE_01	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_NOISE_01	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_NOISE_01	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_GROUP_01	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_GROUP_01	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_GROUP_01	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_FEEDV_06	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_FEEDV_06	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_FEEDV_06	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_VOLTAGE_01	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_VOLTAGE_01	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_VOLTAGE_01	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_VOLTAGE_02	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_VOLTAGE_02	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_VOLTAGE_02	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CAPACIT_01	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CAPACIT_01	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CAPACIT_01	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CURRENT_05	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CURRENT_05	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CURRENT_05	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_RESIST_01	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_RESIST_01	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_RESIST_01	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CABLEID_02	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CABLEID_02	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_CABLEID_02	R5.3	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_BLKCONT_03	R5.2	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_BLKCONT_03	R5.2.01	ALU02048611	X	TARGET	X
NGVR_LINETEST_ISV_BLKCONT_03	R5.3	ALU02048611	X	TARGET	X
